"element","number_of_time_records","benford_score_in_time","trailDigit_score_in_time","number_of_interrupt_in_time","number_of_inaccuracy_records_in_time","number_of_null_in_time","number_of_zero_in_time","number_of_negative_in_time","number_of_future_date_in_time","number_of_illedal_year_in_time","number_of_illegal_month_in_time","number_of_illegal_day_in_time","number_of_illegal_hour_in_time","number_of_illegal_minute_in_time","number_of_illegal_second_in_time","number_of_overlap_records","total_overlap_time","number_of_defect_records","benford_score_in_defect","trailDigit_score_in_defect","number_of_inaccuracy_records_in_defect","number_of_zero_in_deffixtime","number_of_null_in_defect","number_of_negative_in_deffixtime","number_of_future_date_in_defect","number_of_illegal_year_in_defect","number_of_illegal_month_in_defect","number_of_illegal_day_in_defect","number_of_illegal_hour_in_defect","number_of_illegal_minute_in_defect","number_of_illegal_second_in_defect","number_of_size_records","number_of_inaccuracy_records_in_size","number_of_null_in_size","number_of_negative_in_size","number_of_no_plan_records_in_size","number_of_no_actual_records_in_size","number_of_negative_in_task","number_of_future_date_in_task","number_of_illegal_year_in_task","number_of_illegal_month_in_task","number_of_illegal_day_in_task","number_of_illegal_hour_in_task","number_of_illegal_minute_in_task","number_of_illegal_second_in_task","number_of_no_start_date_in_task","number_of_no_completion_date_in_task"
235,10,66.4136888583522,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,0,0,6,0,0,0,0,0,0,0,0,3,3
236,7055,96.1280140238993,92.2369362920544,687,71,0,70,0,2,0,0,0,0,0,0,1228,168601364,996,95.3841204747407,85.5166475315729,135,125,10,0,90,0,0,0,0,0,0,675,135,0,0,15,120,0,1,0,0,0,0,0,0,790,255
237,510,94.759273368288,86.3717693836978,20,7,0,7,0,0,0,0,0,0,0,0,63,8098909,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,255,278
238,3578,98.3252440697676,92.2829446473729,691,19,0,19,0,0,0,0,0,0,0,0,351,6292507,256,88.9631477092263,85,207,1,207,0,0,0,0,0,0,0,0,99,97,0,0,5,92,0,0,0,0,0,0,0,0,564,341
239,114,88.5755519811761,82.1052631578947,10,0,0,0,0,0,0,0,0,0,0,0,10,3908476,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,0,0,0,17,0,0,0,0,0,0,0,0,138,131
240,2657,97.4941219911066,91.7924528301887,416,7,0,7,0,0,0,0,0,0,0,0,240,25744511,57,80.2982395387227,85,57,0,57,0,0,0,0,0,0,0,0,217,212,0,0,0,212,0,0,0,0,0,0,0,0,381,389
241,479,89.4955274723771,62.7987421383648,46,2,0,2,0,0,0,0,0,0,0,0,100,99378915,33,82.1182279231301,85,1,0,1,0,0,0,0,0,0,0,0,53,41,0,0,0,41,0,0,0,0,0,0,0,0,160,109
242,90,93.3753517779253,75,1,0,0,0,0,0,0,0,0,0,0,0,66,1294786,1,-35.4634980487915,85,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,1,1,0,0,0,0,0,0,0,0,59,56
375,602,96.0625182897903,81.6387959866221,41,4,0,4,0,0,0,0,0,0,0,0,83,10811464,51,76.3495061434189,85,5,5,0,0,0,0,0,0,0,0,0,30,14,0,0,10,4,0,0,0,0,0,0,0,0,203,188
376,256,84.8122390626736,52.5,23,4,0,4,0,0,0,0,0,0,0,0,66,2512799,1,-4.84550065040281,85,1,0,1,0,0,0,0,0,0,0,0,59,59,0,0,0,59,0,0,0,0,0,0,0,0,429,328
377,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,429,328
378,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1
379,963,97.1857493495972,79.53125,153,3,0,3,0,0,0,0,0,0,0,0,191,12978152,100,77.6544993495972,79,0,0,0,0,0,0,0,0,0,0,0,69,9,0,0,7,2,0,0,0,0,0,0,0,0,47,4
380,860,89.5464710142961,92.6859504132231,126,13,0,13,0,0,0,0,0,0,0,0,100,4870680,5,54.5365019512085,85,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,38,0
