element,plan_CTotalratio,plan_ATotalratio,plan_FTotalratio,actual_CTotalratio,actual_ATotalratio,actual_FTotalratio,plan_ADevratio,actual_ADevratio,R2_wbs_effort,slope_effort_by_phase,R2_phase_effort,slope_effort_by_phase,R2_task_effort,slope_task_effort,ACRatio_score,PCRatio_score,phase_effort_estimation_score,wbs_estimation_score,appraisal_effective_score,size_accuracy_score,effort_accuracy_score,team_process_score
122,0.483169383346728,0.302088466881716,0.0536855374428888,0.439666238767651,0.337612323491656,0.0622593068035944,0.625222700969307,0.767883211678832,1,0.369530468191236,0.817295908769669,0.369530468191236,0.828430018919798,1.83205243354291,1.25,1.25,No Data,No Data,1.25,0,0.701801177131361,NA
224,0.529411764705882,0.196078431372549,0.0490196078431373,0.473282442748092,0.262813522355507,0.0599781897491821,0.37037037037037,0.555299539170507,1,0.521717846016912,0.915825867811664,0.521717846016912,0.922701942278349,1.60869820875995,1.11059907834101,0.740740740740741,No Data,No Data,1.25,0,0.599346405228758,NA
160,0.420417942677499,0.369019783951372,0.0409899273790622,0.339996709443896,0.478158933859822,0.0336870681145114,0.877745087664931,1.40636341640455,0.815266585628802,1.30752439217956,0.621763590919368,1.30752439217956,0.594277442488719,0.287778011663879,1.25,1.25,No Data,No Data,1.25,0.958661199157708,0.534083126327951,NA
141,0.64786301131228,0,0.158806877251325,0.642978003384095,0,0.185158327290307,0,0,0.841308153561825,0.791431511681744,0.920897036518887,0.791431511681744,0.682607699574698,0.547804834676299,0,0,No Data,No Data,1.25,0,0.952150798824246,NA
370,0.624496537750655,0.271956998720826,0.0643616723979488,0.589842307895153,0.279521122303676,0.100996782870102,0.435481995945687,0.473891273247496,0.990792524348661,1.11825281511683,0.989691514928257,1.11825281511683,0.899376530103314,0.741072650748413,0.947782546494993,0.870963991891373,No Data,No Data,1.25,0.664643734855994,0.888311247748669,NA
144,0,0.218950579298702,0,0,0.180523773201119,0,Inf,Inf,0.991135735709141,1.03383250477703,0.990349526773143,1.03383250477703,0.996225264727126,1.0186423184341,1.25,1.25,No Data,No Data,1.25,0,0.841096854512112,NA
134,0.509178454660623,0.490821545339377,0,0.416518122400475,0.583481877599525,0,0.963947984929015,1.40085592011412,0.268706973073873,-0.743464052287582,-1,-0.743464052287582,0.472084854481206,0.821053499412585,1.25,1.25,No Data,No Data,1.25,0,0.633087570426838,NA
135,0.516104054252454,0.351077903040483,0.130216472846183,0.459439909062726,0.279218766146533,0.257931177017671,0.680246357585775,0.607737291947818,0.559888250148838,0.699012899514928,0.728388298613901,0.699012899514928,0.101124227503004,0.038251463423003,1.21547458389564,1.25,No Data,No Data,1.25,0,0.932421909026913,NA
231,0.424664591373593,0.347027170709824,0.210234094341666,0.521445519255339,0.219492608140172,0.233363752509582,0.817179434685978,0.420931046552328,0.443774393195058,1.10498392620799,0.962687674974224,1.10498392620799,0.551371524175603,0.304970550163463,0.841862093104655,1.25,No Data,No Data,1.25,0,0.569127773833186,NA
266,0.46557399658476,0.425297104061908,0.0790139922593323,0.497061482820976,0.333239150090416,0.122570072332731,0.913489815113591,0.670418371987267,NaN,0.992899129866675,0.956639566047217,0.992899129866675,0.633116992506325,0.727301722577444,1.25,1.25,No Data,No Data,1.25,0,0.973597868974064,NA
374,0.588344358359677,0.346158635599355,0.010984725023497,0.575151250782332,0.352438029851879,0.0127638591234093,0.588360593045298,0.612774516916177,0.87871457040683,0.917382291324252,0.999841320539401,0.917382291324252,0.905683451890953,0.945607353512733,1.22554903383235,1.1767211860906,No Data,No Data,1.25,0,0.938509248763293,NA
394,0.348623853211009,0.306548560582094,0.0166086681429927,0.355414012738853,0.389363057324841,0.015796178343949,0.879310344827586,1.09551971326165,0.897815719122116,1.0965749003193,0.947452802448575,1.0965749003193,0.689198832341804,0.466146928637961,1.25,1.25,No Data,No Data,1.25,0.344581183009131,0.805350318471338,NA
392,0.366206828308115,0.315880690908141,0.0894444923571046,0.42622163525033,0.266978828991075,0.0611117781246248,0.862574552111762,0.626384976525822,0.939372761297498,0.796859633259479,0.976110819515984,0.796859633259479,0.442487584229395,0.58330902891395,1.25,1.25,No Data,No Data,1.25,0,0.529941056689835,NA
222,0.446388062720234,0.203714438363895,0.0713854090329302,0.41659551346736,0.166110378017542,0.0836761623845378,0.456361751975364,0.398732997950438,0.778905359397703,1.20572910662824,0.669170229110775,1.20572910662824,0.646253064014817,0.316198394567773,0.797465995900876,0.912723503950729,No Data,No Data,1.25,0,0.722237327232463,NA
228,0.465966386554622,0.318067226890756,0.0663865546218487,0.488630211153221,0.321873308067136,0.0707904710341094,0.682596934174932,0.658725761772853,0.980232288852722,1.07054490118522,0.981472139130654,1.07054490118522,0.961138459413087,0.902923752034768,1.25,1.25,No Data,No Data,1.25,0.710669781931464,0.966432051976178,NA
335,0.30219793973113,0.36069881878522,0.0821544514254735,0.337830610237919,0.204275288556098,0.0595745415020445,1.19358463894936,0.60466779020479,0.725447803487952,1.10706898537175,0.897090675497569,1.10706898537175,0.803186907338672,0.592267886058609,1.20933558040958,1.25,No Data,No Data,1.25,0.675958904298538,0.896017269806343,NA
246,0.333713881048411,0.434863581830075,0.0976500394794454,0.444492377077308,0.12363351144664,0.0817393009461248,1.30310306680647,0.278145403211576,0.57580449492928,1.69663927063852,0.774940500947762,1.69663927063852,0.583428595816599,0.211785264983559,0.556290806423152,1.25,No Data,No Data,1.25,0.438673318645396,0.776746496761812,NA
324,0.494871039055087,0.332352980085152,0.0810318918454536,0.481805403717008,0.0798063407777604,0.0726222083398407,0.671595130561188,0.165640194489465,NaN,0.937762477703909,0.937213906378655,0.937762477703909,0.68217459391713,0.616861739106249,0.33128038897893,1.25,No Data,No Data,1.25,0.541646605681271,0.964335935340716,NA
343,0.26790669378974,0.40820195563011,0.111068792454837,0.455545774647887,0.260387323943662,0.0702904929577465,1.52367210335729,0.571594202898551,0.327788551021527,1.14878711576504,0.588738318452989,1.14878711576504,0.413265914303415,0.107061428333658,1.1431884057971,1.25,No Data,No Data,1.25,0.343957998832401,0.61017095138332,NA
247,0.438991123402147,0.327954629874739,0.0268608614096808,0.522951694689085,0.267280491059514,0.0348945823325327,0.747064376457356,0.511099770349579,0.947137889051209,1.29714499636928,0.871117800388436,1.29714499636928,0.764105973881026,0.468457138688241,1.02219954069916,1.25,No Data,No Data,1.25,0.723404255319149,0.81542144211127,NA
393,0.22246891651865,0.362788632326821,0.00532859680284192,0.354646032715672,0.35322066110093,0.00617661033055046,1.63073852295409,0.995980861244019,0.927644929787875,0.980415232292758,0.862509817821236,0.980415232292758,0.56116263786198,0.329998328626817,1.25,1.25,No Data,No Data,2.06207418622256,0.298165137614679,0.917124821828548,NA
