size_fact_key,project_key,person_key,team_key,wbs_element_key,plan_item_key,size_added_and_modified,size_added,size_base,size_deleted,size_modified,size_reused,size_total,measurement_type_key,measurement_type_name,size_metric_key,size_metric_name,size_metric_short_name,phase_key,phase_short_name,process_key,process_name,row_current_flag
11819,160,540,52,16950,124588,745,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11820,160,540,52,16950,124588,800,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11821,160,540,52,16951,124600,2125,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11822,160,540,52,16951,124600,1900,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11817,160,540,52,16948,124611,561,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11818,160,540,52,16948,124611,700,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11835,160,540,52,16963,124624,485,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11836,160,540,52,16963,124624,700,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11833,160,540,52,16962,124636,415,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
11834,160,540,52,16962,124636,500,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22305,224,757,79,35257,200406,190,0,0,0,0,0,0,4,Actual,4,Detailed Design Lines,DLD Lines,16,Code,1,TSP(SM),1
22306,224,757,79,35257,200406,210,0,0,0,0,0,0,1,Plan,4,Detailed Design Lines,DLD Lines,16,Code,1,TSP(SM),1
22428,228,772,81,35363,201181,411,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,8,HLD,1,TSP(SM),1
22427,228,771,81,35366,201185,1286,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,12,Design,1,TSP(SM),1
22431,228,773,81,35364,201193,620,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22432,228,773,81,35364,201193,600,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22439,228,773,81,35369,201202,78,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22440,228,773,81,35369,201202,100,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22435,228,773,81,35367,201212,649,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22436,228,773,81,35367,201212,800,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22425,228,771,81,35362,201222,880,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22426,228,771,81,35362,201222,800,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22433,228,773,81,35365,201231,85,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22434,228,773,81,35365,201231,100,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22437,228,773,81,35368,201240,274,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22438,228,773,81,35368,201240,250,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22429,228,772,81,7039,201249,853,0,0,0,0,0,0,4,Actual,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
22430,228,772,81,7039,201249,1000,0,0,0,0,0,0,1,Plan,5,Lines of Code,LOC,16,Code,1,TSP(SM),1
